Nationality,Total Students,F-1 Validity Period,USA,USA Reapply,USA Reciprocity,USA Reapply Reciprocity,South Korea,India,Germany,Argentina,UK,Taiwan,Approximate_Total,Notes,Emojis
Israel,7,41,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,,🇮🇱
Jamaica,1,60,510,0,0,0,60,4.284,88.86,177.64,124.11,50,1014.894,,🇯🇲
Japan,12,60,510,0,0,0,0,21.38,88.86,177.64,124.11,50,971.99,,🇯🇵
Jordan,1,60,510,0,106,0,60,91.53,88.86,177.64,124.11,50,1208.14,,🇯🇴
Kazakhstan,9,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇰🇿
Kenya,20,60,510,0,90,0,60,91.53,88.86,177.64,124.11,50,1192.14,,🇰🇪
Kosovo,6,24,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,,🇽🇰
Kyrgyzstan,1,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,,🇰🇬
Latvia,2,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,European Union country.,🇱🇻
Lithuania,2,24,510,160,0,0,60,91.53,0,177.64,124.11,50,1173.28,European Union country.,🇱🇹
Malaysia,6,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇲🇾
Mexico,16,48,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇲🇽
Mongolia,10,36,510,160,0,0,60,4.284,88.86,177.64,124.11,50,1174.894,,🇲🇳
Morocco,4,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇲🇦
Nepal,1,60,510,0,0,0,60,4.284,88.86,177.64,124.11,50,1014.894,,🇳🇵
Netherlands,4,50,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,European Union country.,🇳🇱
New Zealand,1,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇳🇿
Nigeria,19,24,510,160,110,110,60,257.18,88.86,177.64,124.11,50,1647.79,,🇳🇬
Norway,6,60,510,0,434,0,60,91.53,0,177.64,124.11,50,1447.28,European Economic Area country.,🇳🇴
Pakistan,27,60,510,0,0,0,60,15.01,88.86,177.64,124.11,50,1025.62,,🇵🇰
Philippines,8,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇵🇭
Poland,5,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,European Union country.,🇵🇱
Portugal,1,28,510,160,0,0,60,91.53,0,177.64,124.11,50,1173.28,European Union country.,🇵🇹
Romania,5,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,European Union country.,🇷🇴
